video_id,category_id,category_name
0BbjnNBt_zM,10,Music
0BnG_ofrpmg,24,Entertainment
0BsGxeEeNDs,24,Entertainment
0BvDNk6Gml0,20,Gaming
0C7_1eT29wY,17,Sports
0CLlwu_utSg,2,Autos & Vehicles
0CUrW6A6ZZI,24,Entertainment
0D6qAIh71aU,2,Autos & Vehicles
0D8zWMZqa3M,24,Entertainment
0DFT6G3cLXk,17,Sports
0DHMhd3mZOk,28,Science & Technology
0DJQTKWx3Dk,27,Education
0DNoSn9W2vI,20,Gaming
0E8t0Q546tE,24,Entertainment
0EMWaPJ5wO4,22,People & Blogs
0EVVKs6DQLo,10,Music
0EtGCurj6h8,24,Entertainment
0EzPtJrOZgY,17,Sports
0F3d6e8B3bM,25,News & Politics
0F9sX_CHi3g,17,Sports
0FFpW-dzTdY,24,Entertainment
0FLvJhHePWs,24,Entertainment
0FRVx_c9T0c,27,Education
0Fc7jfStbkE,17,Sports
0FkYz2-KVS0,20,Gaming
0FrGyJS-l7U,10,Music
0G-ZmKp4xR4,20,Gaming
0G-rS1ak1IA,22,People & Blogs
0GSv9YlUzw0,24,Entertainment
0GfTlrspLYQ,20,Gaming
0GqdlZyWtrg,26,Howto & Style
0GxSgk4uWeU,20,Gaming
0H4FGAYZqlY,1,Film & Animation
0HUA4fJU20M,17,Sports
0HVYX6bq1Pc,10,Music
0HgvMc05Fec,2,Autos & Vehicles
0HogRWosbzo,10,Music
0HrAVD-AZ8M,22,People & Blogs
0Hs2DX9Amcg,20,Gaming
0I2EiacT0qQ,2,Autos & Vehicles
0I7j9tjYAg4,24,Entertainment
0IE1TVLH7eI,10,Music
0IR2dYcyTCs,10,Music
0IZP_oX_6Ic,22,People & Blogs
0Iy5-YKXv0E,20,Gaming
0IzIyM3jQvk,17,Sports
0J-n-o4WFLU,17,Sports
0J8I6jE-vnY,17,Sports
0JFhV5sBUYo,10,Music
0JMpYFj2KkQ,24,Entertainment
0JPsRDTS5KA,24,Entertainment
0JPuKiyoBeY,24,Entertainment
0JStZXppX5U,23,Comedy
0JTx7hMF6fE,24,Entertainment
0Jp8f31oiKM,10,Music
0JrGRiUOcfQ,23,Comedy
0KEliHPskJY,23,Comedy
0KFKtJjg_vU,17,Sports
0KQN_f2QVHQ,22,People & Blogs
0K_AiDW259k,23,Comedy
0KcXU4xyTxc,24,Entertainment
0Kl8NjfrZ8I,24,Entertainment
0KmR-AU3ZHU,24,Entertainment
0KnYP3lOyRQ,20,Gaming
0Kr4JO9591c,22,People & Blogs
0Kx3sobEBFE,10,Music
0L1T4VYL_9M,22,People & Blogs
0L1gu4ZcHeI,17,Sports
0L45EEZ-2Cc,17,Sports
0L8aqww8pAc,26,Howto & Style
0L8kRN_bPXM,10,Music
0LATo4EzTNM,17,Sports
0LMDok40oQM,24,Entertainment
0LRJJrbp0LU,20,Gaming
0LRaIfFbGLs,17,Sports
0LYkz7CQb6E,17,Sports
0La8uz7WJiU,17,Sports
0Lb-M1c6k3g,22,People & Blogs
0LbJHBwwKlo,22,People & Blogs
0LkZCkUFCFI,20,Gaming
0LsrAoZZ1A0,20,Gaming
0LvjHGWc0fE,24,Entertainment
0MGmz9zxBG8,23,Comedy
0MLaJusYjw0,24,Entertainment
0MRGejvHFAw,20,Gaming
0Mit0hwcSG0,10,Music
0Mjpsr3YNQc,24,Entertainment
0Mq4Xdo0EBQ,24,Entertainment
0N2IiV6VMqU,27,Education
0N3k52iJJ14,27,Education
0N5lXiQjBeY,24,Entertainment
0NHK4hbw7ec,26,Howto & Style
0NN-upiGFQY,22,People & Blogs
0NWr7LVDVv0,24,Entertainment
0Nbw3jSafGM,17,Sports
0Nj3Il8JIDw,23,Comedy
0NjWOniPT8A,23,Comedy
0NqBmCcI1sM,20,Gaming
0NuWaq3R0kI,24,Entertainment
