channel_id,subscriberCount,viewCount,videoCount
UCdN4aXTrHAtfgbVG9HjBmxQ,6950000.0,2871564823.0,532.0
UCAFKgdKwF0WZBK9sC1cxlAA,1360000.0,465033806.0,1231.0
UCw3LGiL_bYbWrgpQ7w7QZrw,627000.0,273847879.0,4558.0
UCJ5v_MCY6GNUBTO8-D3XoAg,112000000.0,102160317534.0,91285.0
UCdBQfHieMWDWxoCeu1de5RA,10500000.0,1493586031.0,892.0
UCEdtOcwxGX9viDs4G9AAHeg,444000.0,121516232.0,1208.0
UClG8odDC8TS6Zpqk9CGVQiQ,13400000.0,3274460282.0,2034.0
UC_VearYbOy6ofg87HLM4nzQ,1110000.0,293879578.0,247.0
UCMyOj6fhvKFMjxUCp3b_3gA,33600000.0,16306293001.0,472.0
UCnSFZ-olBoLGLRUS_3RI2Aw,34700000.0,38346699061.0,23027.0
UCruQg25yVBppUWjza8AlyZA,962000.0,733121291.0,31113.0
UCn3jIZe_5xsAgo5FlvyYCXw,1330000.0,1547628643.0,18642.0
UCN2KBcMDJyCWB57K7i_Z10g,4240000.0,2867252595.0,101358.0
UCMmVPVb0BwSIOWVeDwlPocQ,2250000.0,1795551159.0,13231.0
UCfhjXHUirtN7RSgKKdrTo4A,328000.0,68889455.0,298.0
UCMrsA8lOl3F4j3DHNfDAkVA,1030000.0,206696542.0,896.0
UCPhVqO6gISmStEikSvmvYyA,22200.0,23030045.0,7894.0
UCv-GNHtqM97EaU_i7gN_Ikw,3900000.0,339785616.0,274.0
UC9rYtOXUyIDQszsdgBzJy5A,229000.0,138311056.0,1092.0
UCjgZhER94_S9obFuBXHbLSQ,161000.0,26010584.0,61.0
UChnGFN2LRHBq-0PM6dOaq5A,259000.0,274208422.0,4476.0
UCfp86n--4JvqKbunwSI2lYQ,5480000.0,1578555900.0,368.0
UCwCpW0IbR0Z2WJryfENq7jw,1240000.0,458744885.0,686.0
UChFDOD4WPd2FgTCkSA4qzXg,420000.0,540651564.0,1008.0
UCBkRQtxofyXr09mWtgoUUqw,708000.0,204657223.0,6670.0
UC2ud5TZ3izx6Y5oDjJsmy8A,318000.0,189730226.0,378.0
UCR8JH5xCiXalvi4DYLC_g_A,1320000.0,134078067.0,191.0
UChLNLQ6r-aGrIFWo_1A9tKQ,488000.0,8635503.0,5.0
UC-O9o5coq8iFSVthivq__tw,5440000.0,1336044915.0,260.0
UC0VVYtw21rg2cokUystu2Dw,3260000.0,929424237.0,268.0
UCuoAh9yGYHEgDU192P2WD9w,1600000.0,1346098021.0,814.0
UClEU2iqj54e-2GgsC5HZUlQ,291000.0,116295681.0,416.0
UCocvwThNlcQ8pdRFnXgpGbw,1040000.0,163562032.0,616.0
UC_BSJ0WX9FnWRK_w1hwtuTw,874000.0,237148429.0,1057.0
UCurvRE5fGcdUgCYWgh-BDsg,4970000.0,2498522126.0,9588.0
UCWljxewHlJE3M7U_6_zFNyA,8480000.0,3709240044.0,8231.0
UCK6vG-ufb9tHi0t_XWWgXZA,670000.0,270191102.0,2267.0
UCoMdktPbSTixAyNGwb-UYkQ,9120000.0,5642685749.0,72059.0
UCUxV8b_z4xI8Qbo1tsOTABg,132000.0,80239568.0,141.0
UCVYamHliCI9rw1tHR1xbkfw,3680000.0,846249605.0,820.0
UCVdPM7Dgxm3cHXM2ro__bUg,2720000.0,289436037.0,2228.0
UCTt2AnK--mnRmICnf-CCcrw,5620000.0,1340184229.0,509.0
UCLXo7UDZvByw2ixzpQCufnA,12700000.0,3784050377.0,2005.0
UCSOpcUkE-is7u7c4AkLgqTw,1270000.0,253670835.0,620.0
UCtrTXHWdY1FmgmvfLI7cyRg,2400000.0,474076815.0,1475.0
UC2cx2Zw0NIZgwqcvPuVg8wQ,641000.0,77260239.0,378.0
UC4-79UOlP48-QNGgCko5p2g,56000000.0,9958060428.0,209.0
UCUw8vQF-X7CJqdVpxBYcavQ,1740000.0,579466465.0,1350.0
UCXGPGV90SPduyn9LVX9s7Kw,1620000.0,2740667841.0,12367.0
UC9tYJpGCSkzDt4HkPC4BtkA,7670000.0,3941205489.0,471.0
UCnZR-r4z1-mToDX5VcQAuNg,701000.0,133056380.0,356.0
UCjcqzy7MSaN2KPnzOKIcpEQ,1770000.0,405428259.0,334.0
UC1T4ul91XoevOE4P4F9DluQ,41800.0,10019241.0,127.0
UC2V6TA0OqHr9BojcHz9az-w,497000.0,106031938.0,531.0
UCohZMReM1dQ5BMeYOlr71mA,133000.0,89586828.0,1483.0
UCaEikx_IQsOI333YPZvB4Ng,680000.0,181910969.0,1075.0
UC0k238zFx-Z8xFH0sxCrPJg,7800000.0,1672099151.0,1261.0
UC2eEGT06FrWFU6VBnPOR9lg,1420000.0,190426498.0,148.0
UCtLo4nwb3ObCDZ4m8b8u7fA,599000.0,585166253.0,4531.0
UCUhFaUpnq31m6TNX2VKVSVA,10800000.0,5237130664.0,3328.0
UCy31smm3GNCgbSgYm9hb41Q,71700.0,58808000.0,10409.0
UC5T7D-Dh1eDGtsAFCuwv_Sw,2120000.0,1296630613.0,35280.0
UCVc-qp-0L4zjR_QUEr0SAHw,126000.0,136776543.0,1572.0
UCOU4k-C0fJVfhxKOILbhCbw,804000.0,164990938.0,116.0
UC39EMuY_IVq6_hBrs6tAMuQ,410000.0,173940066.0,611.0
UCBo9TLJiZ5HI5CXFsCxOhmA,703000.0,170093777.0,654.0
UCYUbNjkuE4lsr2v1Id2O1oA,665000.0,684712439.0,22797.0
UCor8nQnEdMs4eBcU-uVBQ8g,701000.0,243620112.0,1318.0
UCYUQQgogVeQY8cMQamhHJcg,9180000.0,4076275964.0,1889.0
UCE5mQnNl8Q4H2qcv4ikaXeA,2640000.0,1056071877.0,4354.0
UCMZKCZ23VTy_D743H56iuJw,2550000.0,1083177323.0,1193.0
UCXk9Voo5cAfoYbnXjrNZhVw,3720000.0,508296990.0,1377.0
UCR_jb7PJVd3fYZLI_QX_nwA,815000.0,38145097.0,37.0
UCvmijL-eepDVHYSJHDY3d6w,1400000.0,446073254.0,485.0
UChelG_sYPLMv-HIBVGpO6DQ,634000.0,97241332.0,494.0
UC0S5w-TQJywcsni8ZMzgqkg,453000.0,124676463.0,759.0
UCSFKV-1TQsNpDvOv8H6UAQA,3110000.0,686057931.0,329.0
UCGWoTWsXJi1UtCjOiBHIsfw,2390000.0,250276487.0,163.0
UCfWtqPyBMG_7i33OeeNsZZw,3750000.0,2725528501.0,6906.0
UCfCKvREB11-fxyotS1ONgww,2390000.0,983437694.0,948.0
UCrWSKaQ0YVig9wMpORO3nSQ,445000.0,128653231.0,651.0
UCaNVvLC6bcsvIwuDm3tItWQ,8970000.0,2355916049.0,135.0
UCtHtVptJ7tDRvbZrTFDrf7A,6550000.0,2912194723.0,116.0
UCxFt75OIIvoN4AaL7lJxtTg,2090000.0,829934957.0,6326.0
UCXnNL_DTB3N3J_BFx3LGA-w,674000.0,92645969.0,2728.0
UCEg25rdRZXg32iwai6N6l0w,4980000.0,1783732113.0,8458.0
UCuGoycCAWjz_ssl3JPr0o_g,1130000.0,106004845.0,210.0
UC3j75twE_C1Y3TKgkN2iffA,1610000.0,477871597.0,7747.0
UCbKWv2x9t6u8yZoB3KcPtnw,32600000.0,9158716560.0,264.0
UCRmzmRFJ-gko2G6uwKdMPbg,327000.0,141071.0,3.0
UCG7J20LhUeLl6y_Emi7OJrA,1060000.0,139532435.0,193.0
UCgzdfH1fq76l0YAZnoko4DQ,1700000.0,2582782566.0,7117.0
UCF_fDSgPpBQuh1MsUTgIARQ,10300000.0,23284815442.0,239.0
UC3IjgjgWtpLTCrR0shGXKVg,11800000.0,3858432400.0,883.0
UC55IWqFLDH1Xp7iu1_xknRA,81900000.0,1249587091.0,57015.0
UCh7vK970a9Ol76zVuD1ud0g,1790000.0,202105281.0,415.0
UCsTcErHg8oDvUnTzoqsYeNw,24900000.0,5070540230.0,2476.0
UCw4YGFtvDgOL09KrFpqj6kg,3920000.0,3575363777.0,30363.0
UCqFMzb-4AUf6WAIbl132QKA,2650000.0,2350948768.0,42906.0
UCyfkoMQeJOoEt3ZhY3PI6Uw,20900000.0,247942948.0,18760.0
UCO_vmeInQm5Z6dEZ6R5Kk0A,1810000.0,783902682.0,7986.0
UC9PfekKMDzLt_tkragAeACw,8210000.0,8079487000.0,1388.0
UCW-lscQ6YciH18U05EktjwA,421000.0,205709638.0,49.0
UCNaM4RXivTmW2UTo7RI34ew,1840000.0,838736501.0,826.0
UCqls08lc29RNv0JNqnOJwWA,782000.0,97962839.0,319.0
UCE97AW7eR8VVbVPBy4cCLKg,1260000.0,538204523.0,1906.0
UCsKVP_4zQ877TEiH_Ih5yDQ,2770000.0,380208888.0,104.0
UCzgxx_DM2Dcb9Y1spb9mUJA,19000000.0,8803855283.0,2446.0
UCChcWqwYXCEs657MQ00qVWA,3250000.0,1225744682.0,5701.0
UCpBXVjiK3PLdQTPa877mNwQ,295000.0,72769340.0,154.0
UC6dM99DofLDsfodmxHsIh5w,407000.0,410402483.0,8312.0
UCeykVZIuLbvlaD3PdTlOHLw,5070000.0,2644054777.0,1288.0
UCgvxPRMwki3Q0tjv73zXuKw,1140000.0,425878546.0,162.0
UCccjdJEay2hpb5scz61zY6Q,1260000.0,459628799.0,3265.0
UCsdD3quGf01RWABJt8wLe9g,1470000.0,63047414.0,12.0
UC-MO_OXjTUo8azFIU7arRew,3080000.0,224260031.0,1560.0
UCsqjHFMB_JYTaEnf_vmTNqg,5060000.0,2371818996.0,2347.0
UCC_r3spMB5i5QKgtdNVO0OQ,3810000.0,1488945170.0,1046.0
UCpdK1NLHxEUGXc1gq2NxkTw,9460000.0,855884225.0,2880.0
UCAxW1XT0iEJo0TYlRfn6rYQ,2900000.0,401000508.0,1102.0
UCy5YRlHRDW3y-N5aIzABo9Q,637000.0,85571045.0,265.0
UCRGhaM_Dfh_iNL3yqQ0LYxg,159000.0,58341852.0,2132.0
UC0WP5P-ufpRfjbNrmOWwLBQ,39400000.0,35407616960.0,202.0
UCS4Rrb_cE8F_Jo1XI4bNQdA,505000.0,479300360.0,125.0
UCeJlXGyEl7kBgQJKADAHM3A,3470000.0,1503218790.0,10156.0
UCZGYJFUizSax-yElQaFDp5Q,4250000.0,1670430711.0,2486.0
UCeqKIgPQfNInOswGRWt48kQ,1740000.0,1635223209.0,9805.0
UCIK0rlPzvgI0tCwuHrtO82w,909000.0,436482255.0,645.0
UCFfZKvN-M4gCFYVKRK-PTUg,84400.0,2286346.0,1.0
UCgpq8b6bCzkSLquNQeSE6QQ,993000.0,337120324.0,764.0
UCr8RjWUQ_9KYcIPmWiqBroQ,17500000.0,12279288513.0,493.0
UCRs1pHnES3QDdh43xbjOmzw,1150000.0,715386890.0,6960.0
UCJmo2vO5Fsj8xKGcoCmBJvg,1760000.0,289972807.0,420.0
UCOH_ioSD8yxFCfKNuiWiloQ,5720000.0,1084690266.0,1929.0
UCx18ywTcohtS9lpNXt8noWQ,14100000.0,2137039511.0,413.0
UCNyMA98nFE0BKIk7DLTD6VQ,1170000.0,319607052.0,575.0
UCKetFmtqdh-kn915crdf72A,7690000.0,893078524.0,138.0
UCBs5YS0JTDAU5hwN9bGVk_A,978000.0,626981244.0,3901.0
UCVhibwHk4WKw4leUt6JfRLg,1230000.0,2289504952.0,58174.0
UCSo19KhHogXxu3sFsOpqrcQ,2130000.0,2296825736.0,99863.0
UCPvPrcWhqR0IN2WLpCbd95A,1360000.0,362269416.0,992.0
UCr4ARxgElIO21GWfIraZezg,10100000.0,1382519208.0,3119.0
UCx6F-rETGiz7xf_vkMmX2yQ,16900000.0,4201215763.0,428.0
UC12XQWcIlaavjjbhh6EeMJw,488000.0,835436161.0,23446.0
