video_id,category_id
01xIJVT2Wxc,27
027yDER5QT0,24
02BxwayFQdE,20
02G9UKwkpEY,20
02LufIQjP-8,24
02MaoZ5n-uM,17
02YcIQ0GYCE,17
02bFwfiEaeQ,10
02g_Mn_rEoU,17
03-DgRkupK8,10
033FWxL22A0,20
038vNg88oXg,10
03An1UUO2xs,17
03GLM4XiiZU,20
03GS1u4GAd4,27
03LoHZUSqSU,17
03MONiC3tLo,24
03Xa38nfhGw,10
03YkRUHRwTg,22
03eVXlrVox4,22
03uBOJfLCWg,24
03wKL7Y4IzA,17
042JWTvwmcs,22
04FW4EAJFfI,24
04FtEJvCZP0,17
04KxKOCZGLo,15
04VQNLLrmj4,26
04YWL57p2JA,23
04_l1NXszQo,17
04fnbyAoh5Y,17
04iDF3I6dTo,2
04k9g8HW1GI,24
04o8Z9TNoi4,24
04po9rpIW_U,24
04wN5-GpEwQ,20
056fTE7tGLE,17
058hRtaCWC0,27
05A26mwdmuI,23
05EB_fhIrx8,17
05GTmDSeFKY,17
05HuTGeF5AA,17
05K5glVCwis,28
05YvTwmtaec,24
05_0z2s1toM,24
05uUcFel3ME,10
05un-yeeQ4I,24
05vQIHhBmr4,20
068YwWsyoNg,24
06EMsKqI2mM,22
06QB_YZWcfk,24
06VbOtavvYE,17
06cEdPmCuFg,10
070jlyD-Lh0,24
07EgW8YJByw,20
07SEEakiewI,17
07SZESd8bgU,23
07hU5YjP1aM,24
085bnHmDEbA,28
08AUS7lfXCU,10
08MCd75frA8,10
08RCeyso9Vc,17
08T1ObkO7O0,1
08V8aBTz7Sk,17
08dcKkfq22U,24
08mwXICY4JM,27
09-9hKW7rb8,24
094AQXwPL2g,17
094JAEh_p-c,24
0965xq7kr3c,2
09JlQLSOWbI,23
09QCT3iLqXo,24
09fDHD4rr_U,10
09jQWXgxyjY,24
09vxPwNL9vY,20
0A7q1a_Jxbc,24
0AKNxqOT8hw,10
0APuDGqlQ3U,27
0ATlGTB6-sM,17
0A_e8rKlbKA,10
0B0kMPbheGM,10
0B8NBeQCsuo,20
